FID	X	Y	GMT date_H	GMT date	Y	M	D	H	DOP	IDbear	IDsquare_025ha	IDsquare_100ha	IDsquare_900ha
1092919	1431994.25	6821872.17	2012-05-03 08:00	2012-05-03	2012	5	3	8	4,4	W1203	17241	4278	488
1092920	1431999.16	6821888.44	2012-05-03 09:00	2012-05-03	2012	5	3	9	3,6	W1203	17241	4278	488
1092921	1431995.24	6821888.16	2012-05-03 10:00	2012-05-03	2012	5	3	10	2,8	W1203	17241	4278	488
1092922	1431996.25	6821890.3	2012-05-03 11:00	2012-05-03	2012	5	3	11	2,6	W1203	17241	4278	488
1092923	1431991.71	6821883.55	2012-05-03 12:00	2012-05-03	2012	5	3	12	2,6	W1203	17241	4278	488
1092924	1431993.13	6821882.81	2012-05-03 13:00	2012-05-03	2012	5	3	13	3	W1203	17241	4278	488
1092925	1431970.2	6821878.44	2012-05-03 14:00	2012-05-03	2012	5	3	14	3,8	W1203	17241	4278	488
1092926	1431518.38	6820705.1	2012-05-03 15:00	2012-05-03	2012	5	3	15	5,2	W1203	16635	4177	454
1092927	1431492.45	6820299.05	2012-05-03 16:00	2012-05-03	2012	5	3	16	3	W1203	16433	4076	454
1092928	1431762.95	6819788.76	2012-05-03 17:00	2012-05-03	2012	5	3	17	2,6	W1203	16231	4076	454
1092929	1431790.91	6819746.21	2012-05-03 18:00	2012-05-03	2012	5	3	18	2,6	W1203	16231	4076	454
1092930	1431859.87	6819682.3	2012-05-03 19:00	2012-05-03	2012	5	3	19	6	W1203	16231	4076	454
1092931	1431877.34	6819675.41	2012-05-03 20:00	2012-05-03	2012	5	3	20	2,6	W1203	16231	4076	454
1092932	1431732.96	6819683.53	2012-05-03 21:00	2012-05-03	2012	5	3	21	2	W1203	16231	4076	454
1092933	1431723.89	6819617.54	2012-05-03 22:00	2012-05-03	2012	5	3	22	3,4	W1203	16231	4076	454
1092934	1431726.37	6819619.23	2012-05-03 23:00	2012-05-03	2012	5	3	23	3,6	W1203	16231	4076	454
1092935	1431725.44	6819584.82	2012-05-04 00:00	2012-05-04	2012	5	4	0	8,2	W1203	16231	4076	454
1092936	1431722.46	6819581.25	2012-05-04 01:00	2012-05-04	2012	5	4	1	2,8	W1203	16231	4076	454
1092937	1431720.23	6819580.6	2012-05-04 02:00	2012-05-04	2012	5	4	2	2,8	W1203	16231	4076	454
1092938	1431724.74	6819587.53	2012-05-04 03:00	2012-05-04	2012	5	4	3	1,8	W1203	16231	4076	454
1092939	1431726.31	6819568.44	2012-05-04 04:00	2012-05-04	2012	5	4	4	4,6	W1203	16231	4076	454
1092940	1431647.22	6819730.99	2012-05-04 05:00	2012-05-04	2012	5	4	5	5,8	W1203	16231	4076	454
1092941	1431433.06	6819652.79	2012-05-04 06:00	2012-05-04	2012	5	4	6	1,8	W1203	16230	4075	454
1092942	1431442.41	6819659.97	2012-05-04 07:00	2012-05-04	2012	5	4	7	5,4	W1203	16230	4075	454
1092943	1431438.59	6819651.47	2012-05-04 08:00	2012-05-04	2012	5	4	8	2,6	W1203	16230	4075	454
1092944	1431437.94	6819653.31	2012-05-04 09:00	2012-05-04	2012	5	4	9	3	W1203	16230	4075	454
1092945	1431434.85	6819647.26	2012-05-04 10:00	2012-05-04	2012	5	4	10	2,2	W1203	16230	4075	454
1092946	1431434.49	6819660.17	2012-05-04 11:00	2012-05-04	2012	5	4	11	2,4	W1203	16230	4075	454
1092947	1431438.81	6819648.3	2012-05-04 12:00	2012-05-04	2012	5	4	12	3,4	W1203	16230	4075	454
